title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,title_ser,num_in_ser,month,day,year,century,num_coauthors,pages_category,ar_fillna,np_fillna,publisher_fillna
The Lord of the Rings: Complete Visual Companio,Jude Fisher,4.5,eng,224.0,359,6,11/15/2004,Houghton Mifflin Harcourt,-,0,11,15,2004,21,1,от 100 до 500 стр.,4.5,224.0,Houghton Mifflin Harcourt
Agile Web Development with Rails: A Pragmatic Guid,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng,558.0,1430,59,7/28/2005,Pragmatic Bookshelf,-,0,7,28,2005,21,6,от 500 до 1000 стр.,3.84,558.0,Pragmatic Bookshelf
"Hatchet: A Guide for Using ""Hatchet"" in the Classroo",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,eng,48.0,36,2,8/28/1994,Teacher Created Resources,-,0,8,28,1994,20,3,до 100 стр.,4.0,48.0,Teacher Created Resources
Guts: The True Stories behind Hatchet and the Brian Book,Gary Paulsen,3.88,eng,144.0,2067,334,1/23/2001,,-,0,1,23,2001,21,1,от 100 до 500 стр.,3.88,144.0,Vintage
Molly Hatchet - 5 of the Bes,Molly Hatchet,4.33,eng,56.0,6,0,6/10/2003,Cherry Lane Music Company,-,0,6,10,2003,21,1,до 100 стр.,4.33,56.0,Cherry Lane Music Company
Hatchet Jobs: Writings on Contemporary Fictio,Dale Peck,3.45,other,228.0,99,16,11/1/2005,The New Press,-,0,11,1,2005,21,1,от 100 до 500 стр.,3.45,228.0,The New Press
A Changeling for All Seasons,Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,304.0,167,4,11/1/2005,Changeling Press,Changeling Seasons,1,11,1,2005,21,9,от 100 до 500 стр.,3.76,304.0,Changeling Press
Changeling,Delia Sherman,3.6,eng,256.0,978,111,8/17/2006,Viking Juvenile,Changeling,1,8,17,2006,21,1,от 100 до 500 стр.,3.6,256.0,Viking Juvenile
The Changeling Se,Patricia A. McKillip,4.06,eng,,4454,302,4/14/2003,Firebird,-,0,4,14,2003,21,1,,4.06,296.0,Firebird
The Changelin,Zilpha Keatley Snyder,4.17,eng,228.0,1176,96,6/8/2004,iUniverse,-,0,6,8,2004,21,1,от 100 до 500 стр.,4.17,228.0,iUniverse
The Changeling,Philippa Carr,3.98,eng,369.0,345,12,8/28/1990,Ivy Books,Daughters of England,15,8,28,1990,20,1,от 100 до 500 стр.,3.98,369.0,Ivy Books
The Known Worl,Edward P. Jones,3.83,eng,388.0,29686,2626,8/29/2006,Amistad,-,0,8,29,2006,21,1,от 100 до 500 стр.,3.83,388.0,Amistad
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivative,Satyajit Das,3.83,eng,334.0,1456,82,5/15/2006,FT Press,-,0,5,15,2006,21,1,от 100 до 500 стр.,3.83,334.0,FT Press
Artesia: Adventures in the Known Worl,Mark Smylie,,eng,352.0,52,4,12/14/2005,Archaia,-,0,12,14,2005,21,1,от 100 до 500 стр.,3.95,352.0,Archaia
The John McPhee Reader,John McPhee/William Howarth,,eng,416.0,562,37,6/1/1982,Farrar  Straus and Giroux,John McPhee Reader,1,6,1,1982,20,2,от 100 до 500 стр.,3.95,416.0,Farrar  Straus and Giroux
Uncommon Carrier,John McPhee,,other,248.0,1630,203,5/16/2006,Farrar Straus Giroux,-,0,5,16,2006,21,1,от 100 до 500 стр.,3.95,248.0,Farrar Straus Giroux
Heirs of General Practic,John McPhee,4.17,eng,128.0,268,22,4/1/1986,Farrar  Straus and Giroux,-,0,4,1,1986,20,1,от 100 до 500 стр.,4.17,128.0,Farrar  Straus and Giroux
The Control of Natur,John McPhee,4.24,other,288.0,3498,305,9/1/1990,Farrar  Straus and Giroux,-,0,9,1,1990,20,1,от 100 до 500 стр.,4.24,288.0,Farrar  Straus and Giroux
Annals of the Former Worl,John McPhee,4.34,eng,,3115,228,1/6/1999,Farrar  Straus and Giroux,-,0,1,6,1999,20,1,,4.34,296.0,Farrar  Straus and Giroux
Coming Into the Countr,John McPhee,4.22,eng,448.0,5704,261,4/1/1991,,-,0,4,1,1991,20,1,от 100 до 500 стр.,4.22,448.0,Vintage
La Place de la Concorde Suiss,John McPhee,3.92,other,160.0,698,52,4/1/1994,Farrar  Straus and Giroux,-,0,4,1,1994,20,1,от 100 до 500 стр.,3.92,160.0,Farrar  Straus and Giroux
Giving Good Weigh,John McPhee,4.23,eng,288.0,542,36,4/1/1994,,-,0,4,1,1994,20,1,от 100 до 500 стр.,4.23,288.0,Vintage
Rising from the Plain,John McPhee,4.23,eng,208.0,1341,98,11/1/1987,Farrar  Straus and Giroux,-,0,11,1,1987,20,1,от 100 до 500 стр.,4.23,208.0,Farrar  Straus and Giroux
The Heidi Chronicle,Wendy Wasserstein,3.75,eng,81.0,1423,70,3/1/2002,Dramatists Play Service,-,0,3,1,2002,21,1,до 100 стр.,3.75,81.0,Dramatists Play Service
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romanti,Wendy Wasserstein,3.84,eng,249.0,2766,64,7/2/1991,Vintage,-,0,7,2,1991,20,1,от 100 до 500 стр.,3.84,249.0,Vintage
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listenin,Heidi Hayes Jacobs,3.94,eng,138.0,31,1,3/29/2006,Routledge,-,0,3,29,2006,21,1,от 100 до 500 стр.,3.94,138.0,Routledge
Simply Beautiful Beaded Jewelr,Heidi Boyd,3.77,other,128.0,62,4,3/14/2006,North Light Books,-,0,3,14,2006,21,1,от 100 до 500 стр.,3.77,128.0,North Light Books
Always Enough: God's Miraculous Provision Among the Poorest Children on Eart,Heidi Baker/Rolland Baker,4.46,eng,192.0,860,53,9/1/2003,Chosen Books,-,0,9,1,2003,21,2,от 100 до 500 стр.,4.46,192.0,Chosen Books
Mapping the Big Picture: Integrating Curriculum & Assessment K-1,Heidi Hayes Jacobs,3.68,other,,77,2,1/28/1997,Association for Supervision & Curriculum Development,-,0,1,28,1997,20,1,,3.68,296.0,Association for Supervision & Curriculum Development
There's Always Enough: The Miraculous Move of God in Mozambiqu,Rolland Baker/Heidi Baker,4.46,eng,192.0,34,6,4/28/2003,Sovereign World,-,0,4,28,2003,21,2,от 100 до 500 стр.,4.46,192.0,Sovereign World
The Player's Handbook: The Ultimate Guide on Dating and Relationship,Heidi Fleiss/Libby Keatinge,3.82,eng,123.0,34,8,5/10/2004,One Hour Entertainment,-,0,5,10,2004,21,2,от 100 до 500 стр.,3.82,123.0,One Hour Entertainment
Simply Beautiful Beading: 53 Quick and Easy Project,Heidi Boyd,3.78,other,128.0,78,4,8/19/2004,North Light Books,-,0,8,19,2004,21,1,от 100 до 500 стр.,3.78,128.0,North Light Books
God Emperor of Dune,Frank Herbert,3.84,eng,423.0,2785,166,6/15/1987,Ace Books,Dune Chronicles,4,6,15,1987,20,1,от 100 до 500 стр.,3.84,423.0,Ace Books
Chapterhouse: Dune,Frank Herbert,3.91,eng,,38778,568,7/1/1987,Ace Books,Dune Chronicles,6,7,1,1987,20,1,,3.91,296.0,Ace Books
Dune Messiah,Frank Herbert,3.88,eng,331.0,97494,2359,7/15/1987,Ace Books,Dune Chronicles,2,7,15,1987,20,1,от 100 до 500 стр.,3.88,331.0,Ace Books
Dreamer of Dune: The Biography of Frank Herber,Brian Herbert,4.01,other,592.0,784,21,7/1/2004,Tor Books,-,0,7,1,2004,21,1,от 500 до 1000 стр.,4.01,592.0,Tor Books
Heretics of Dune,Frank Herbert,3.86,eng,480.0,272,20,4/16/1984,Putnam,Dune Chronicles,5,4,16,1984,20,1,от 100 до 500 стр.,3.86,480.0,Putnam
The Road to Dun,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,426.0,4789,83,8/29/2006,Tor Science Fiction,-,0,8,29,2006,21,3,от 100 до 500 стр.,3.88,426.0,Tor Science Fiction
The Power of One: One Person  One Rule  One Mont,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,other,,16,1,11/1/2004,Thomas Nelson,-,0,11,1,2004,21,3,,4.28,296.0,Thomas Nelson
Power of an Hour: Business and Life Mastery in One Hour a Wee,Dave Lakhani,,eng,,174,16,5/19/2006,Wiley,-,0,5,19,2006,21,1,,3.95,296.0,Wiley
The Power of One: The Solo Play for Playwrights  Actors  and Director,Louis E. Catron,3.67,eng,,10,0,2/7/2000,Heinemann Drama,-,0,2,7,2000,20,1,,3.67,296.0,Heinemann Drama
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Day,Adam Ginsberg,3.48,eng,336.0,76,9,5/3/2005,William Morrow Paperbacks,-,0,5,3,2005,21,1,от 100 до 500 стр.,3.48,336.0,William Morrow Paperbacks
eBay for Dummie,Marsha Collier,3.5,eng,386.0,111,9,10/30/2006,Wiley,-,0,10,30,2006,21,1,от 100 до 500 стр.,3.5,386.0,Wiley
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyon,Chris Malta/Lisa Suttora,,eng,260.0,24,0,1/24/2006,McGraw-Hill,-,0,1,24,2006,21,2,от 100 до 500 стр.,3.95,260.0,McGraw-Hill
Starting an eBay Business for Dummie,Marsha Collier,3.55,eng,384.0,55,4,9/17/2004,Wiley,-,0,9,17,2004,21,1,от 100 до 500 стр.,3.55,384.0,Wiley
eBay: Top 100 Simplified Tips & Trick,Julia Wilkinson,4.27,eng,260.0,9,0,6/6/2006,Wiley,-,0,6,6,2006,21,1,от 100 до 500 стр.,4.27,260.0,Wiley
ebay Timesaving Techniques for Dummie,Marsha Collier,,other,391.0,22,1,5/31/2004,Wiley,-,0,5,31,2004,21,1,от 100 до 500 стр.,3.95,391.0,Wiley
Ruby Ann's Down Home Trailer Park Cookboo,Ruby Ann Boxcar,4.12,eng,240.0,50,5,5/3/2005,Citadel,-,0,5,3,2005,21,1,от 100 до 500 стр.,4.12,240.0,Citadel
Ruby Ann's Down Home Trailer Park BBQin' Cookboo,Ruby Ann Boxcar,4.08,eng,206.0,13,2,5/3/2005,Citadel,-,0,5,3,2005,21,1,от 100 до 500 стр.,4.08,206.0,Citadel
Rails Cookbook: Recipes for Rapid Web Development with Rub,Rob Orsini,3.48,eng,514.0,64,1,1/1/2007,O'Reilly Media,-,0,1,1,2007,21,1,от 500 до 1000 стр.,3.48,514.0,O'Reilly Media
CliffsNotes on Tolstoy's Anna Karenin,Marianne Sturman/Leo Tolstoy,3.85,eng,80.0,16,3,11/26/1965,Cliffs Notes,-,0,11,26,1965,20,2,до 100 стр.,3.85,80.0,Cliffs Notes
Tolstoy: Anna Karenin,Anthony Thorlby,,eng,128.0,1204,33,11/26/1987,Cambridge University Press,-,0,11,26,1987,20,1,от 100 до 500 стр.,3.95,128.0,Cambridge University Press
Untouchabl,Mulk Raj Anand/E.M. Forster,,eng,160.0,3429,279,7/3/1990,Penguin Books,-,0,7,3,1990,20,2,от 100 до 500 стр.,3.95,160.0,Penguin Books
The Untouchabl,John Banville,3.95,eng,367.0,2163,216,6/30/1998,Vintage,-,0,6,30,1998,20,1,от 100 до 500 стр.,3.95,367.0,Vintage
The Untouchable,Eliot Ness/Oscar Fraley,3.89,eng,256.0,613,31,2/1/1996,Buccaneer Books,-,0,2,1,1996,20,2,от 100 до 500 стр.,3.89,256.0,Buccaneer Books
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern Indi,Narendra Jadhav,3.82,other,320.0,308,40,9/27/2005,Scribner,-,0,9,27,2005,21,1,от 100 до 500 стр.,3.82,320.0,Scribner
Dalit: The Black Untaouchables of Indi,V.T. Rajshekar/Y.N. Kly,4.2,eng,100.0,10,0,1/28/1995,Clarity Press,-,0,1,28,1995,20,2,от 100 до 500 стр.,4.2,100.0,Clarity Press
Growing Up Untouchable in India: A Dalit Autobiograph,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,eng,,16,4,12/20/2000,Rowman & Littlefield Publishers,-,0,12,20,2000,20,3,,3.65,296.0,Rowman & Littlefield Publishers
The Evidence-Based Social Work Skills Boo,Barry R. Cournoyer,3.4,eng,216.0,10,0,9/22/2003,Pearson,-,0,9,22,2003,21,1,от 100 до 500 стр.,3.4,216.0,Pearson
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroo",John Carratello/Patty Carratello/Theresa Wright,4.0,eng,48.0,17,0,9/28/1991,Teacher Created Resources,-,0,9,28,1991,20,3,до 100 стр.,4.0,48.0,Teacher Created Resources
Wrinkles in Tim,George Smoot/Keay Davidson,4.01,eng,360.0,1035,23,10/1/1994,Harper Perennial,-,0,10,1,1994,20,2,от 100 до 500 стр.,4.01,360.0,Harper Perennial
A Wrinkle in Time: With Related Readings,Madeleine L'Engle,4.0,eng,250.0,36,6,5/1/2002,EMC/Paradigm Publishing,A Wrinkle in Time Quintet,1,5,1,2002,21,1,от 100 до 500 стр.,4.0,250.0,EMC/Paradigm Publishing
Literature Circle Guide: A Wrinkle in Tim,Tara MacCarthy,,eng,,15,0,1/1/2002,Teaching Resources,-,0,1,1,2002,21,1,,3.95,296.0,Teaching Resources
Una arruga en el tiempo – A Wrinkle in Tim,Madeleine L'Engle,,other,205.0,6,1,6/1/1984,Turtleback Books,-,0,6,1,1984,20,1,от 100 до 500 стр.,3.95,205.0,Turtleback Books
The Long Shadow,Cynthia Harrod-Eagles,4.12,eng,367.0,376,17,6/1/1994,Little  Brown Book Group,The Morland Dynasty,6,6,1,1994,20,1,от 100 до 500 стр.,4.12,367.0,Little  Brown Book Group
A Long Shadow,Charles Todd,4.11,eng,352.0,3086,237,1/3/2006,William Morrow,Inspector Ian Rutledge,8,1,3,2006,21,1,от 100 до 500 стр.,4.11,352.0,William Morrow
Long Way Round: Chasing Shadows Across the Worl,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,other,320.0,352,44,11/1/2005,Atria Books,-,0,11,1,2005,21,3,от 100 до 500 стр.,3.94,320.0,Atria Books
A Shadow in Summer,Daniel Abraham,,eng,331.0,9852,633,3/7/2006,Tor Books,Long Price Quartet,1,3,7,2006,21,1,от 100 до 500 стр.,3.95,331.0,Tor Books
New Hope for the Dead,Charles Willeford/James Lee Burke,3.9,eng,244.0,821,78,8/10/2004,Vintage Crime/Black Lizard,Hoke Mosely,2,8,10,2004,21,2,от 100 до 500 стр.,3.9,244.0,Vintage Crime/Black Lizard
Sideswipe: A Hoke Moseley Nove,Charles Willeford/Lawrence Block,4.05,eng,215.0,731,72,3/8/2005,Vintage Crime/Black Lizard,-,0,3,8,2005,21,2,от 100 до 500 стр.,4.05,215.0,Vintage Crime/Black Lizard
Miami Blues,Charles Willeford/Elmore Leonard,3.94,eng,,2897,178,8/10/2004,Vintage Crime/Black Lizard,Hoke Moseley,1,8,10,2004,21,2,,3.94,296.0,Vintage Crime/Black Lizard
The Burnt Orange Heresy,Charles Willeford,3.89,eng,144.0,98,11,10/3/1990,Vintage,-,0,10,3,1990,20,1,от 100 до 500 стр.,3.89,144.0,Vintage
Poetry for Young People: Edward Lea,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,eng,48.0,66,19,10/1/2001,Sterling,-,0,10,1,2001,21,3,до 100 стр.,3.91,48.0,Sterling
The Puffin Book of Nonsense Vers,Quentin Blake,4.02,eng,287.0,81,6,10/3/1996,,-,0,10,3,1996,20,1,от 100 до 500 стр.,4.02,287.0,Vintage
Henry Miller on Writin,Henry Miller/Thomas H. Moore,4.22,eng,217.0,981,52,2/1/1964,New Directions Publishing,-,0,2,1,1964,20,2,от 100 до 500 стр.,4.22,217.0,New Directions Publishing
Quiet Days in Clich,Henry Miller,3.69,eng,154.0,3381,141,1/13/1994,Grove Press,-,0,1,13,1994,20,1,от 100 до 500 стр.,3.69,154.0,Grove Press
Tropic of Cance,Henry Miller/Jiří Níl,3.68,eng,318.0,53206,2376,1/6/1994,Grove Press,-,0,1,6,1994,20,2,от 100 до 500 стр.,3.68,318.0,Grove Press
Tropic of Capricor,Henry Miller,3.78,eng,348.0,14872,459,1/13/1994,Grove Press,-,0,1,13,1994,20,1,от 100 до 500 стр.,3.78,348.0,Grove Press
Nexus,Henry Miller,4.1,eng,316.0,3261,58,1/13/1994,Grove Press,The Rosy Crucifixion,3,1,13,1994,20,1,от 100 до 500 стр.,4.1,316.0,Grove Press
Sexus,Henry Miller,3.98,eng,506.0,7805,251,1/12/1994,Grove Press,The Rosy Crucifixion,1,1,12,1994,20,1,от 500 до 1000 стр.,3.98,506.0,Grove Press
The Air-Conditioned Nightmar,Henry Miller,3.83,eng,,2699,142,1/17/1970,New Directions,-,0,1,17,1970,20,1,,3.83,296.0,New Directions
The Portrait of a Lad,Henry James/Patricia Crick,,eng,,61640,1951,9/30/2003,,-,0,9,30,2003,21,2,,3.95,296.0,Vintage
Writin,Marguerite Duras,3.75,eng,91.0,778,44,5/6/1999,Brookline Books,-,0,5,6,1999,20,1,до 100 стр.,3.75,91.0,Brookline Books
The Wa,Marguerite Duras/Barbara Bray,3.85,eng,192.0,963,65,8/1/1994,The New Press,-,0,8,1,1994,20,2,от 100 до 500 стр.,3.85,192.0,The New Press
The Ravishing of Lol Stei,Marguerite Duras/Richard Seever,3.66,other,181.0,2057,128,3/12/1986,Pantheon,-,0,3,12,1986,20,2,от 100 до 500 стр.,3.66,181.0,Pantheon
Love Letter,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,eng,178.0,203,8,7/1/1999,One World (UK),-,0,7,1,1999,20,3,от 100 до 500 стр.,3.68,178.0,One World (UK)
Kahlil Gibran: His Life and Worl,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,eng,464.0,35,2,4/1/1998,Interlink Publishing Group,-,0,4,1,1998,20,3,от 100 до 500 стр.,4.21,464.0,Interlink Publishing Group
The Beloved: Reflections on the Path of the Hear,Kahlil Gibran/John Walbridge/Robin Waterfield,,eng,102.0,328,16,1/1/1998,Penguin Books,-,0,1,1,1998,20,3,от 100 до 500 стр.,3.95,102.0,Penguin Books
Jesus the Son of Ma,Kahlil Gibran/جبران خليل جبران,3.98,eng,,1308,82,2/21/1995,Knopf,-,0,2,21,1995,20,2,,3.98,296.0,Knopf
The Broken Wing,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,,eng,132.0,6432,517,3/3/2003,Citadel,-,0,3,3,2003,21,3,от 100 до 500 стр.,3.95,132.0,Citadel
Sand and Foa,Kahlil Gibran/جبران خليل جبران,4.08,eng,100.0,3015,217,6/14/2011,,-,0,6,14,2011,21,2,от 100 до 500 стр.,4.08,100.0,Vintage
Treasure Island,Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,eng,,91,16,1/31/2006,Abdo Publishing Company,-,0,1,31,2006,21,3,,4.05,296.0,Abdo Publishing Company
Cien años de soleda,Gabriel García Márquez,4.07,other,,63,7,1/1/1990,French & European,-,0,1,1,1990,20,1,,4.07,296.0,French & European
On Beyond Zebra,Dr. Seuss,4.04,eng,64.0,2815,164,9/12/1955,Random House Books for Young Readers,-,0,9,12,1955,20,1,до 100 стр.,4.04,64.0,Random House Books for Young Readers
The Wedding Claus,Debbie Raleigh,3.6,eng,256.0,95,13,6/7/2005,Zebra,-,0,6,7,2005,21,1,от 100 до 500 стр.,3.6,256.0,Zebra
The Zebra Wal,Kevin Henkes,3.44,eng,147.0,217,24,2/15/2005,Greenwillow Books,-,0,2,15,2005,21,1,от 100 до 500 стр.,3.44,147.0,Greenwillow Books
El perfume: Historia de un asesin,Patrick Süskind,4.02,other,,4136,255,6/1/2002,,-,0,6,1,2002,21,1,,4.02,296.0,Vintage
The Door Into Summe,Robert A. Heinlein,4.01,eng,304.0,17232,649,6/17/1997,Del Rey,-,0,6,17,1997,20,1,от 100 до 500 стр.,4.01,304.0,Del Rey
To Sail Beyond the Sunse,Robert A. Heinlein,3.87,other,,10293,193,6/1/1988,Ace Books,-,0,6,1,1988,20,1,,3.87,296.0,Ace Books
Job: A Comedy of Justic,Robert A. Heinlein,3.78,other,439.0,15970,438,10/12/1985,Del Rey,-,0,10,12,1985,20,1,от 100 до 500 стр.,3.78,439.0,Del Rey
Time for the Stars,Robert A. Heinlein,3.97,eng,256.0,6898,200,8/8/2006,Tor Books,Heinlein's Juveniles,10,8,8,2006,21,1,от 100 до 500 стр.,3.97,256.0,Tor Books
The Long Dark Tea-Time of the Soul,Douglas Adams,4.06,other,307.0,67803,1401,2/15/1991,Pocket Books,Dirk Gently,2,2,15,1991,20,1,от 100 до 500 стр.,4.06,307.0,Pocket Books
The Salmon of Doubt,Douglas Adams,,eng,298.0,22091,746,4/26/2005,Del Rey,Dirk Gently,3,4,26,2005,21,1,от 100 до 500 стр.,3.95,298.0,Del Rey
Wish You Were Here: The Official Biography of Douglas Adam,Nick  Webb,4.14,eng,368.0,2623,49,12/27/2005,Del Rey,-,0,12,27,2005,21,1,от 100 до 500 стр.,4.14,368.0,Del Rey
Douglas Adams's Starship Titani,Terry Jones,3.6,eng,256.0,885,84,10/27/1998,Ballantine Books,-,0,10,27,1998,20,1,от 100 до 500 стр.,3.6,256.0,Ballantine Books
Salmon of Doubt: Hitchhiking the Galaxy One Last Tim,Douglas Adams/Christopher Cerf,,eng,336.0,5,0,7/1/2003,Turtleback Books,-,0,7,1,2003,21,2,от 100 до 500 стр.,3.95,336.0,Turtleback Books
The Phantom Tollbooth: A Children's Play in Two Act,Susan Nanus/Norton Juster,4.13,eng,72.0,100,13,1/12/2011,Samuel French  Inc.,-,0,1,12,2011,21,2,до 100 стр.,4.13,72.0,Samuel French  Inc.
On Bullshi,Harry G. Frankfurt,3.57,eng,67.0,9358,995,1/30/2005,Princeton University Press,-,0,1,30,2005,21,1,до 100 стр.,3.57,67.0,Princeton University Press
Another Bullshit Night in Suck Cit,Nick Flynn,3.78,eng,,9318,907,9/12/2005,W. W. Norton & Company,-,0,9,12,2005,21,1,,3.78,296.0,W. W. Norton & Company
Lincoln at Gettysburg: The Words That Remade Americ,Garry Wills,4.14,other,317.0,120,15,6/12/1993,Simon & Schuster,-,0,6,12,1993,20,1,от 100 до 500 стр.,4.14,317.0,Simon & Schuster
The Gettysburg Addres,Abraham Lincoln/Michael McCurdy,4.53,eng,32.0,5239,76,2/2/1998,HMH Books for Young Readers,-,0,2,2,1998,20,2,до 100 стр.,4.53,32.0,HMH Books for Young Readers
Libr,Don DeLillo,3.99,eng,480.0,11857,564,5/1/1991,Penguin,-,0,5,1,1991,20,1,от 100 до 500 стр.,3.99,480.0,Penguin
American,Don DeLillo,3.43,eng,377.0,393,55,7/6/1989,Penguin Books,-,0,7,6,1989,20,1,от 100 до 500 стр.,3.43,377.0,Penguin Books
Running Do,Don DeLillo,3.43,eng,256.0,1356,72,7/17/1989,Vintage Contemporaries,-,0,7,17,1989,20,1,от 100 до 500 стр.,3.43,256.0,Vintage Contemporaries
Great Jones Stree,Don DeLillo,3.48,eng,272.0,2492,145,1/1/1994,Penguin Books,-,0,1,1,1994,20,1,от 100 до 500 стр.,3.48,272.0,Penguin Books
The Name,Don DeLillo,,eng,339.0,3100,212,7/17/1989,Vintage,-,0,7,17,1989,20,1,от 100 до 500 стр.,3.95,339.0,Vintage
Against the Da,Thomas Pynchon,,eng,,5296,587,11/21/2006,Penguin Press,-,0,11,21,2006,21,1,,3.95,296.0,Penguin Press
V,Thomas Pynchon,3.96,eng,547.0,1415,177,7/5/2005,Harper Perennial Modern Classics,-,0,7,5,2005,21,1,от 500 до 1000 стр.,3.96,547.0,Harper Perennial Modern Classics
The Crying of Lot 4,Thomas Pynchon,3.69,eng,152.0,2161,230,4/1/1999,Harper Perennial,-,0,4,1,1999,20,1,от 100 до 500 стр.,3.69,152.0,Harper Perennial
Vinelan,Thomas Pynchon,3.69,other,385.0,702,69,9/1/1997,Penguin Classics,-,0,9,1,1997,20,1,от 100 до 500 стр.,3.69,385.0,Penguin Classics
Slow Learner: Early Storie,Thomas Pynchon,3.5,eng,193.0,334,34,4/30/1985,Back Bay Books,-,0,4,30,1985,20,1,от 100 до 500 стр.,3.5,193.0,Back Bay Books
Been Down So Long It Looks Like Up To M,Richard Fariña/Thomas Pynchon,3.8,eng,352.0,2473,220,8/29/1996,Penguin Classics,-,0,8,29,1996,20,2,от 100 до 500 стр.,3.8,352.0,Penguin Classics
The Year of Magical Thinkin,Joan Didion,3.89,other,227.0,2656,336,10/4/2005,,-,0,10,4,2005,21,1,от 100 до 500 стр.,3.89,227.0,Vintage
The White Albu,Joan Didion,4.17,eng,222.0,11889,738,10/1/1990,Farrar Straus Giroux,-,0,10,1,1990,20,1,от 100 до 500 стр.,4.17,222.0,Farrar Straus Giroux
A Book of Common Praye,Joan Didion,3.8,eng,272.0,2962,255,4/11/1995,Vintage International,-,0,4,11,1995,20,1,от 100 до 500 стр.,3.8,272.0,Vintage International
Where I Was Fro,Joan Didion,3.86,eng,240.0,2842,292,9/14/2004,Vintage,-,0,9,14,2004,21,1,от 100 до 500 стр.,3.86,240.0,Vintage
Slouching Towards Bethlehe,Joan Didion,4.21,eng,,26934,1825,10/1/1990,Farrar Straus Giroux,-,0,10,1,1990,20,1,,4.21,296.0,Farrar Straus Giroux
